permalink,name,parent_permalink,depth,meta_title,meta_description,meta_keywords,description_html,hero_image_filename,icon_filename,batch_id
brands/duotone-kiteboarding,Duotone Kiteboarding,brands,1,Duotone Kiteboarding Kites & Gear 2026,"Shop the full Duotone Kiteboarding range — kites, bars, boards & accessories. Free EU shipping from €99. Shop now at Surf Store.","duotone kiteboarding,duotone kites,duotone kite gear","<h2>About Duotone Kiteboarding</h2><p>Duotone Kiteboarding is one of the world's most respected kite brands, born from decades of innovation in wind-powered water sports. Built on the legacy of North Kiteboarding and relaunched in 2018, Duotone combines aerospace-grade materials with athlete-driven design to produce kites, bars, and boards that perform at every level — from first timers to World Tour professionals.</p><p>Every Duotone kite is engineered at the brand's headquarters in Boards & More in Molln, Austria, where the R&D team works directly with their championship-winning team riders including Jesse Richman, Moona Whyte, and Airton Cozzolino. The result is gear that translates real-world feedback into tangible performance gains for everyday riders.</p><h2>The Duotone Kiteboarding Range</h2><p>Duotone's kite lineup covers every riding style. The <strong>Evo</strong> is the brand's legendary all-around kite — a favourite for freeriders who want one kite that does everything well. The <strong>Rebel</strong> is a sheet-and-go power machine built for wave and light-wind riding, while the <strong>Dice</strong> delivers playful, unhooked freestyle performance. For foil enthusiasts, the <strong>Echo</strong> and <strong>Juice</strong> offer ultra-light build and instant relaunch for downwind and foil sessions.</p><p>Duotone's bar system — the industry-standard <strong>Click Bar</strong> — is renowned for its one-click safety release and adjustable depower. It's compatible across the full kite range and works in concert with the 4-line and 5-line configurations available at every level.</p><h2>Why Buy Duotone at Surf Store</h2><p>Surf Store has been an authorised Duotone dealer since the brand's relaunch, which means you get full manufacturer warranty, expert pre-delivery inspection, and access to our in-store team who ride Duotone gear themselves. We stock the complete 2026 collection including D/LAB and SLS performance editions not widely available across Europe.</p><p>We offer free shipping on Duotone orders over €99 within the EU, and our specialists can advise on size selection based on your weight, location, and riding ambitions. Whether you're buying your first trainer kite or upgrading to a full D/LAB setup, Surf Store is your Duotone partner.</p><h2>Expert Advice</h2><p>Not sure which Duotone kite is right for you? Our team has tested the entire 2026 range in real conditions. Book a free consultation via WhatsApp or visit our store in Maribor, Slovenia. We'll match you with the right kite, bar, and board combination from day one.</p><p>Q: Which Duotone kite is best for beginners?<br>A: The Duotone Juice is specifically designed for progression, offering forgiving handling and stable power delivery that builds confidence without limiting your development.</p><p>Q: Can I use a Duotone kite with a non-Duotone bar?<br>A: While technically possible, we always recommend the Duotone Click Bar for the best safety performance and warranty coverage on your kite.</p><p>Q: Does Surf Store stock spare Duotone parts?<br>A: Yes — we carry the full range of Duotone spare parts including bladders, bridle lines, leading edge and strut replacements for current and recent model years.</p>",,batch_01_brands
brands/duotone-windsurfing,Duotone Windsurfing,brands,1,Duotone Windsurfing Sails & Boards 2026,"Duotone windsurfing sails, masts, booms & boards. Race-proven tech for all levels. Free EU shipping €99+. Shop now at Surf Store.","duotone windsurfing,duotone sails,duotone windsurf board","<h2>About Duotone Windsurfing</h2><p>Duotone Windsurfing carries the heritage of North Sails Windsurfing, one of the most storied names in windsurf racing. After rebranding in 2019, Duotone has continued to dominate the PWA World Tour, with riders like Antoine Albeau and Sara Wennekes flying Duotone sails at the top of the podium. The brand's technical philosophy — light construction, fast delivery of power, and intuitive balance — makes Duotone sails accessible to club racers and wave sailors alike.</p><p>Manufactured in the Boards & More facility in Austria, Duotone windsurf sails feature proprietary technologies including <strong>SLS (Stiff Lite Skin)</strong> carbon laminate and <strong>D/LAB</strong> premium construction — the same specifications used by World Tour riders in competition.</p><h2>The Duotone Windsurf Range</h2><p>The <strong>Super_Star SLS</strong> is the benchmark slalom sail, designed for maximum speed in flat-water racing. The <strong>Warp_Foil</strong> is optimised for windsurf foiling, offering early liftoff and precise upwind angle. For wave sailing, the <strong>Tonic</strong> and <strong>Idol</strong> deliver lightweight, reactive handling in cross-shore and onshore conditions. Entry-level riders will find the <strong>Super_Hero</strong> an ideal platform for learning to plane consistently and build confidence.</p><h2>Why Buy Duotone Windsurfing at Surf Store</h2><p>As an authorised Duotone dealer, Surf Store stocks the full 2026 windsurf collection including sails, masts, booms, and complete sets. Our staff are active windsurfers who can advise on sail size for your local conditions, mast compatibility, and boom length. We offer a full rigging check service for customers who purchase complete setups from us.</p><h2>Expert Advice</h2><p>Choosing the right Duotone sail size depends on your weight, local wind range, and riding style. Contact our team for a personalised recommendation — we typically respond on WhatsApp within 10 minutes on working days.</p><p>Q: What mast works with Duotone sails?<br>A: Duotone recommends their own SDM or RDM masts for optimal sail profile. We stock the full Duotone mast range in-store.</p><p>Q: Are 2026 Duotone sails compatible with older booms?<br>A: Yes, if your boom has a standard front end. We recommend checking boom length range against your sail size.</p><p>Q: Does Surf Store offer windsurf package deals?<br>A: Absolutely — we regularly assemble complete sail, mast, boom, and extension packages at a discounted bundle price.</p>",,batch_01_brands
brands/duotone-wingsurfing,Duotone Wing Foiling,brands,1,Duotone Wings & Wing Foil Gear 2026,"Duotone wing foiling — wings, boards, foils & gear. Europe's best wing foil selection. Free EU shipping €99+. Shop now.","duotone wing foil,duotone wings,duotone wing surf","<h2>About Duotone Wing Foiling</h2><p>Duotone entered wing foiling at the ground level when the sport was still being defined, and has since become the benchmark brand in the category. Collaborating with athletes like Balz Müller and Maxime Chabloz, Duotone's wing team has shaped how modern wings are designed — prioritising low-end power, stiffness-to-weight ratio, and handles that give precise control at high speed.</p><p>The Duotone wing range is manufactured with the same Boards & More production quality that defines their kite and windsurf products, with SLS carbon construction available across the premium tier.</p><h2>The Duotone Wing Range</h2><p>The <strong>Unit D/LAB</strong> is Duotone's flagship wing — a stiff, high-aspect design built for speed foiling and pumping. The <strong>Echo</strong> is the all-around choice: easy to relaunch, excellent upwind, and light enough for extended sessions. The <strong>Slick</strong> is the entry-level option that gives beginners confidence without compromising on quality. For downwinders, the <strong>Downwinder Air</strong> inflatable SUP boards pair perfectly with any unit wing.</p><h2>Why Buy Duotone Wings at Surf Store</h2><p>Surf Store stocks the complete 2026 Duotone wing range and the supporting foil, board, and wetsuit ecosystem. Our team can set up complete wing foil packages from board to foil to wing, sized appropriately for your weight and local wind conditions. We offer demo days at select locations — contact us to check availability.</p><h2>Expert Advice</h2><p>Wing foiling has the steepest learning curve of any board sport but the right starting setup makes an enormous difference. We recommend the Duotone Echo 5.0–6.0m combined with a stable foil board and a low-aspect front wing for beginners.</p><p>Q: What size wing for a 80kg beginner?<br>A: A 5.5–6.0m wing gives you enough power in 12–20 knots without being overwhelming. The Duotone Echo is ideal.</p><p>Q: Can I use a Duotone wing with another brand's foil?<br>A: Yes — wings are universal. However, foil compatibility with boards requires checking mast box type.</p><p>Q: Does Surf Store do wing foil lessons?<br>A: We can connect you with certified instructors in Slovenia. Contact us via WhatsApp for referrals.</p>",,batch_01_brands
brands/duotone-sup,Duotone SUP Boards & Paddles 2026,brands,1,Duotone SUP Boards & iSUP Packages 2026,"Duotone inflatable SUP boards, paddles & packages 2026. Quality iSUPs for all levels. Free EU shipping €99+. Shop now.","duotone sup,duotone isup,duotone inflatable sup board","<h2>About Duotone SUP</h2><p>Duotone SUP brings the same engineering discipline that defines the brand's kite and wing products to the stand-up paddleboarding world. Built for flat-water cruising, downwind runs, and river surfing, Duotone iSUPs feature drop-stitch construction with rigid rails, military-grade PVC, and pre-installed fin systems that rival hardboards in stiffness and tracking.</p><p>The Duotone SUP lineup is particularly well regarded for family and all-round use — boards like the <strong>Ride Air</strong> and <strong>Glide Air</strong> offer stability for first-time paddlers while remaining light enough for experienced riders to explore coastal touring routes.</p><h2>The Duotone SUP Range</h2><p>The <strong>Flow Air SLS</strong> is the brand's flagship all-around board — 10'6\" wide and stable enough for paddlers of all sizes. The <strong>Raven Air SLS</strong> is a touring shape that tracks straight and covers distance efficiently. For families, the <strong>Grace Air SLS</strong> package includes a quality three-piece paddle, pump, bag, and leash at an exceptional value. Racing riders will find the <strong>Blitz Air SLS</strong> narrow profile responsive and fast.</p><h2>Why Buy Duotone SUP at Surf Store</h2><p>Surf Store is an authorised Duotone SUP dealer stocking boards, paddles, and complete iSUP packages. We provide full warranty support and can advise on board selection based on paddler weight, intended use, and local water conditions. iSUP boards ship deflated in their carry bag for easy EU delivery.</p><h2>Expert Advice</h2><p>For most adult paddlers, a 10'–10'6\" all-round board at 30–33\" wide is the ideal starting point. Surf Store's team can match you with the right Duotone model for your height, weight, and intended use.</p><p>Q: Are Duotone SUPs suitable for beginners?<br>A: Yes — the wide, stable shapes in the Air SLS range are specifically designed for first-time paddlers.</p><p>Q: Can Duotone iSUPs be used in the sea?<br>A: Absolutely. The drop-stitch PVC construction handles coastal chop well. Avoid rocky landings.</p><p>Q: What's included in a Duotone iSUP package?<br>A: Packages include the board, 3-piece adjustable paddle, dual-action pump, carry bag, ankle leash, and fin.</p>",,batch_01_brands
brands/cabrinha,Cabrinha Kites & Kiteboards 2026,brands,1,Cabrinha Kites & Kiteboards 2026,"Shop Cabrinha kites, boards & bars 2026. One of kitesurfing's most trusted brands. Free EU shipping €99+. Shop now.","cabrinha kites,cabrinha kiteboarding,cabrinha kiteboards","<h2>About Cabrinha</h2><p>Founded in Maui in 2000 by big-wave surfer Pete Cabrinha, Cabrinha is one of the founding brands of modern kiteboarding. Pete's surfing roots are embedded in every Cabrinha product — from the wave-focused <strong>Moto</strong> kite to the performance twin-tip boards designed for powered freeriding. Cabrinha designs kites that feel alive and connected, drawing on the brand's deep culture of Hawaiian ocean riding.</p><p>Cabrinha kites are built at the brand's facility in Maui and feature proprietary technologies including <strong>Delta-Hybrid Arc</strong> geometry for consistent power and the <strong>Switchblade</strong> platform that has been the world's best-selling kite for over a decade.</p><h2>The Cabrinha Range</h2><p>The <strong>Switchblade</strong> remains Cabrinha's most versatile model — a delta-hybrid that bridges the gap between C-kite control and bow kite depower. The <strong>Drifter</strong> is the wave-specific kite that Cabrinha built for surf-style riding with minimal bar pressure. The <strong>FX</strong> delivers unhooked freestyle performance with a stiff, connected feel. The <strong>Moto X</strong> is the all-around SLE kite for progressive freeriders looking for maximum boost.</p><h2>Why Buy Cabrinha at Surf Store</h2><p>Surf Store stocks the full Cabrinha 2026 season lineup — kites from 4m to 18m, bars, boards, pads, straps, and accessories. As an authorised Cabrinha dealer, we provide full manufacturer warranty and our team rides Cabrinha gear in real conditions so we can give honest, first-hand advice.</p><h2>Expert Advice</h2><p>Choosing your first Cabrinha kite is one of the most important decisions in your kiteboarding journey. Our team recommends the Switchblade for versatility, the Drifter for wave riders, and the Moto for beginners who want long-term progression.</p><p>Q: Which Cabrinha kite is best for beginners?<br>A: The Cabrinha Moto is forgiving, stable, and offers excellent depower — perfect for learning.</p><p>Q: Is the Cabrinha Unify bar compatible with all Cabrinha kites?<br>A: Yes — the Unify Control System is designed for the full 2026 Cabrinha kite range.</p><p>Q: Does Surf Store stock Cabrinha accessories?<br>A: We stock the full range including leashes, pumps, bags, pads and straps, and spare parts.</p>",,batch_01_brands
brands/neilpryde,NeilPryde Sails & Wetsuits 2026,brands,1,NeilPryde Windsurfing Sails & Wetsuits 2026,"NeilPryde windsurfing sails, foils, wetsuits & accessories. Pro-proven tech for all levels. Free EU shipping. Shop now.","neilpryde sails,neilpryde wetsuits,neilpryde windsurfing","<h2>About NeilPryde</h2><p>NeilPryde is one of the most storied names in sailing and water sports, founded in Hong Kong in 1970 by Neil Pryde, a world-record holder in sail manufacturing. The brand's legacy spans Olympic sailing, Americas Cup yacht sails, and windsurfing — and today NeilPryde is one of the key innovation forces in windsurf technology and wet suit design.</p><p>NeilPryde's windsurfing range is produced using proprietary <strong>X-Ply</strong> laminate technology and partnered with Severne and Gaastra in a production group that ensures consistent, race-ready quality across their lineup.</p><h2>The NeilPryde Range</h2><p>The <strong>Wizard</strong> wetsuit series is NeilPryde's flagship neoprene product — offering GBS seam construction, liquid-seal cuffs, and a 3D pre-shaped knee that eliminates restriction during footstrap use. Their windsurf sails span racing models like the <strong>RS:Flight</strong> to all-around freeride options including the <strong>Fusion</strong> and <strong>Atlas</strong> series. NeilPryde masts and booms round out a complete equipment ecosystem.</p><h2>Why Buy NeilPryde at Surf Store</h2><p>Surf Store has been a NeilPryde dealer for over a decade, stocking the full range of sails, masts, booms, extensions, foils, and wetsuits. Our windsurf experts can help you match sail size to your mast, boom length to your body, and wetsuit thickness to your local water temperature.</p><h2>Expert Advice</h2><p>NeilPryde's mid-range sails like the Atlas Pro offer exceptional value for club racers who want race-inspired performance at a realistic price. Contact our team for a complete NeilPryde rig package recommendation.</p><p>Q: Are NeilPryde sails compatible with other brands' masts?<br>A: NeilPryde sails are designed around their own mast bend curves but will work with IMCS-rated masts from other brands at the correct percentage.</p><p>Q: How thick a NeilPryde wetsuit for winter use?<br>A: For water temperatures 10–14°C, we recommend the Wizard 5/4mm with hood.</p><p>Q: Does Surf Store carry NeilPryde foils?<br>A: Yes — we stock the NeilPryde Glide windsurf foil range including masts, fuselages, and wing sets.</p>",,batch_01_brands
brands/jp-australia,JP Australia SUP & Windsurf Boards 2026,brands,1,JP Australia Boards — SUP & Windsurf 2026,"JP Australia windsurf and SUP boards 2026. Podium-proven shapes for all levels. Free EU shipping €99+. Shop now.","jp australia,jp australia sup,jp australia windsurf board","<h2>About JP Australia</h2><p>JP Australia was founded by Jason Polakow — a six-time PWA Wave World Champion — and the brand carries his commitment to performance shapes into every board they produce. Based in Austria, JP Australia manufactures windsurf boards, SUP boards, wing foil boards, and kayaks with an emphasis on responsive rails, precise volume distribution, and durable construction.</p><p>JP Australia boards are renowned for their wave shapes — the <strong>Thruster</strong> and <strong>Quad</strong> series are among the most widely ridden wave boards on the PWA World Tour. Their SUP lineup delivers the same shape precision to stand-up paddleboarding.</p><h2>The JP Australia Range</h2><p>The <strong>Super Ride</strong> is JP's best-selling all-round windsurf board — wide, stable, and early-planing. The <strong>Freestyle Wave</strong> bridges freeriding and wave riding for versatile performance. The <strong>Slalom</strong> board series is the product of direct collaboration with PWA racers and targets maximum speed on flat water. For SUP, the <strong>WildWater Air</strong> is a high-performance river SUP while the <strong>AllRound Air</strong> excels as an everyday flat-water board.</p><h2>Why Buy JP Australia at Surf Store</h2><p>Surf Store stocks the JP Australia range across windsurf and SUP categories. We can advise on volume and width selection for your weight, style, and local conditions, and have firsthand experience with many models in the Adriatic and Slovenian wind spots.</p><h2>Expert Advice</h2><p>For windsurf beginners, we recommend starting with a wide, high-volume JP Super Ride or Freestyle Wave, which provides stability for learning footstrap use and planing in moderate winds.</p><p>Q: Which JP Australia board for learning to windsurf?<br>A: The JP Super Ride in 135L–160L offers the stability and early planing that makes learning far more enjoyable.</p><p>Q: Are JP Australia boards vacuum or hand-laminated?<br>A: Premium JP boards use vacuum sandwich construction. Entry boards use polyethylene skin for durability.</p><p>Q: Does Surf Store stock JP Australia spare fins?<br>A: Yes — we stock US Box, Tuttle Box, and Deep Tuttle fins compatible with the JP range.</p>",,batch_01_brands
brands/gaastra,Gaastra Windsurf Sails & Kites 2026,brands,1,Gaastra Windsurf Sails & GA-Kites 2026,"Shop Gaastra windsurfing sails and GA-Kites 2026. Proven race tech at great value. Free EU shipping. Shop now at Surf Store.","gaastra sails,ga kites,gaastra windsurf","<h2>About Gaastra</h2><p>Gaastra is a Dutch water sports brand with roots stretching back to 1897 when Klaas Gaastra started making traditional sailing sails. The modern Gaastra brand — under the Boards & More umbrella alongside Duotone and Fanatic — produces windsurf sails, kites, harnesses, and accessories that balance race-proven technology with accessible pricing for club and recreational riders.</p><p>Gaastra's GA-Kites sub-brand has established itself in the foiling and light-wind kite market, with models like the <strong>Spark</strong> and <strong>ONE</strong> offering excellent glide and upwind performance for wing foiling and speed kiting enthusiasts.</p><h2>The Gaastra Range</h2><p>The Gaastra windsurf lineup is headed by the <strong>Cosmic</strong> — a precision freerace sail — and the <strong>Matrix</strong>, which is an all-round sail for club racing and recreational windsurfing. The <strong>Boost</strong> is the entry-level option that provides consistent power for learning to plane. GA-Kites include the <strong>Pure</strong> for beginner kiters and the <strong>MAX</strong> for experienced riders pushing light-wind limits.</p><h2>Why Buy Gaastra at Surf Store</h2><p>Surf Store stocks the full Gaastra 2026 range including sails in all sizes, masts, booms, and GA-Kites. We maintain one of the largest Gaastra inventories in the region and can offer complete rig packages at competitive prices. Free EU shipping applies on orders over €99.</p><h2>Expert Advice</h2><p>Gaastra sails are an excellent value proposition for windsurfers who want reliable, well-engineered gear without paying the premium of top-tier race brands. The Matrix is our most recommended Gaastra model for recreational club riders.</p><p>Q: Are Gaastra sails suitable for beginners?<br>A: Yes — the Boost series is explicitly designed for progression, offering smooth power delivery and a wide wind range.</p><p>Q: What's the difference between GA-Kites and Gaastra kites?<br>A: GA-Kites is the kite-specific sub-brand under the Gaastra umbrella, focused on foiling and light-wind performance.</p><p>Q: Does Surf Store carry Gaastra harnesses?<br>A: Yes — we stock the full GA harness line for windsurf and kite including seat and waist models.</p>",,batch_01_brands
brands/nobile,Nobile Kiteboards & Foils 2026,brands,1,Nobile Kiteboards & Foil Systems 2026,"Nobile kiteboards, foils, pads & straps 2026. Polish craftsmanship for kitesurfers worldwide. Free EU shipping. Shop now.","nobile kiteboards,nobile foil,nobile kiteboarding","<h2>About Nobile</h2><p>Nobile is a Polish kiteboard manufacturer that has earned a loyal following through exceptional build quality and innovative shapes. Founded in Puck, Poland — one of Europe's premier kiteboarding destinations — Nobile has the advantage of developing and testing their boards in real-world kite conditions on the Baltic Sea. The brand's flagship models are hand-laminated with quality wood cores and careful attention to deck pad placement and insert geometry.</p><p>Nobile's kiteboards are distributed across Europe and carried by specialty kite dealers who appreciate the brand's quality-per-price positioning. The <strong>NHP</strong> and <strong>50Fifty</strong> series are particularly respected in the freestyle community for their consistent pop and reliable flex pattern.</p><h2>The Nobile Range</h2><p>The <strong>NHP</strong> (Nobile High Performance) is the brand's pro freestyle board — stiff, poppy, and shaped for precise landings. The <strong>50Fifty Evolution</strong> is a balanced all-rounder that performs well in waves and flat water alike. The <strong>NHP WMN</strong> is shaped specifically for women riders, with a softer flex and shorter length. Nobile also produces a foil board lineup and IFS binding systems with modular adjustment.</p><h2>Why Buy Nobile at Surf Store</h2><p>Surf Store stocks Nobile kiteboards, foil kits, fins, bags, and the IFS binding system. We can advise on sizing based on your weight and riding style, and have first-hand experience with the NHP and 50Fifty range at local kite spots.</p><h2>Expert Advice</h2><p>Nobile's boards are a smart choice for intermediate to advanced riders who want quality construction at a lower price than premium brands. The NHP Carbon is our top recommendation for riders prioritising freestyle progression.</p><p>Q: What size Nobile board for an 80kg rider?<br>A: We recommend the NHP in 138cm or 142cm for an 80kg freerider. For freestyle, size down 2–4cm.</p><p>Q: Are Nobile IFS bindings adjustable?<br>A: Yes — Nobile's IFS system allows stance width, angle, and binding position adjustment without tools.</p><p>Q: Does Surf Store stock Nobile foils?<br>A: We stock select Nobile foil components. Contact us for current availability.</p>",,batch_01_brands
